"Date","Local Route","Light Rail","Peak Service","Rapid Route","School","Other"
"26/12/2021","1,988","2,667","0","5,220","0","64"
"13/10/2019","4,018","6,122","0","10,108","0","7"
"01/12/2021","17,157","8,967","232","18,004","4,783","207"
"03/01/2020","10,567","9,480","122","14,584","0","20"
"25/08/2024","3,646","5,515","0","9,288","0","111"
"23/01/2023","16,650","10,826","287","20,708","0","156"
"22/07/2024","19,698","13,009","373","25,832","498","213"
"09/02/2022","18,292","8,438","169","18,007","6,725","224"
"19/08/2023","6,010","7,592","0","12,049","0","109"
"17/07/2020","10,472","7,137","135","14,369","0","29"
"29/10/2023","4,159","6,217","0","9,398","0","66"
"14/07/2024","3,760","5,553","0","9,287","0","109"
"15/03/2023","25,900","15,409","437","30,657","7,090","328"
"20/10/2019","4,159","6,001","0","9,389","0","20"
"02/01/2022","2,313","2,516","0","4,906","0","46"
"23/10/2023","24,201","13,637","401","27,218","7,148","151"
"06/01/2020","12,693","9,028","258","18,070","0","10"
"23/11/2021","17,030","8,411","208","17,255","5,390","146"
"30/03/2021","24,051","12,314","383","24,416","6,654","187"
"10/05/2020","1,454","1,635","0","3,023","0","10"
"03/12/2021","17,112","9,502","190","18,702","4,389","157"
"28/08/2019","27,973","15,887","550","36,009","5,898","99"
"23/08/2021","3,182","1,112","27","3,102","17","41"
"12/01/2022","9,339","5,038","83","10,805","0","97"
"08/04/2023","4,900","6,321","0","10,077","0","92"
"13/06/2022","2,838","3,689","0","6,454","0","57"
"21/05/2023","3,578","5,231","0","9,243","0","81"
"13/12/2022","20,261","12,431","289","23,458","1,558","234"
"14/01/2020","17,714","12,842","439","26,545","0","3"
"18/11/2023","5,803","8,124","0","12,196","0","44"
"27/06/2024","24,254","13,040","365","26,689","6,297","275"
"15/01/2023","3,290","4,549","0","7,980","0","63"
"11/12/2021","4,181","5,450","0","8,775","0","67"
"02/09/2021","3,598","1,254","30","3,612","0","43"
"29/10/2020","19,534","9,156","250","19,623","5,951","129"
"17/03/2020","24,198","12,499","435","30,745","6,617","17"
"28/01/2023","5,214","6,322","0","11,311","0","88"
"24/06/2020","13,969","7,567","149","15,842","5,287","49"
"23/02/2024","26,613","15,019","357","29,928","7,710","303"
"01/12/2020","19,621","10,542","307","19,764","5,217","104"
"25/07/2023","24,535","15,117","355","28,670","6,559","236"
"26/06/2024","24,565","13,612","381","27,222","6,350","283"
